ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
319,Muslims too need to understand the fears and concerns of secular westerners who now have to deal with strict Islamic rules within their own communities.,other,present,negative,negative,negative,fear
320,I'm EXTREMELY sad to say that it looks as though The Skyline Obscura will be on an indefinate hiatus as of this past Thursday.,self,na,negative,na,neut,sadness
321,"Sorry for the letdown, and I can't speak for everyone else, but I'd rather have this happen now than later.",self,na,neut,na,neut,sadness
322,"The one bad thing is that she got news this morning that her 21 y/o kitty, Aunt Becky, passed away last night.",other,past,negative,neut,neut,sadness
323,"She knew the kitty was not doing well (she hasn't been for a while now, but kept rallying), so it wasn't a shock at all, but still sad.",other,past,negative,neut,positive,sadness
324,"They still are not sure what is going on with the transplanted kidney as it appears to be ""peeling like an onion"", but his potassium and sugar and such are leveling out and he is feeling better.",other,na,positive,na,positive,joy
325,So last week was the Thanksgiving long weekend and it was sooo sweeeet.,other,na,neut,na,na,joy
326,My sister came back from university and it was (surprisingly) nice to spend time with her again!!,other,present,positive,neut,positive,surprise
327,lol just kidding.,other,na,neut,na,na,joy
328,"Anyways, on Monday I got to see some of my favourite people and that was really fun as well :) Go Augustine Inc.!",self,present,positive,neut,neut,joy
329,And I believe that God gave me this amazing opportunity for a specific reason and there's no way I'm turning it down.,self,present,positive,neut,positive,surprise
330,lol).,other,na,neut,na,neut,joy
331,I just feel like we're all getting caught in the whirlpool of life (hehe what a funny term) and I just wanted to urge you guys to not forget about checking up on each other.,self,present,positive,neut,positive,joy
332,:D lol wow.,other,na,positive,na,positive,joy
333,"First of all, I would like to say that I am proud of myself.",self,na,positive,na,positive,joy
334,The period ran smoothly under my direction most suprisingly to me. I actually liked being thrown into the situation without having prior knowledge.,self,present,positive,neut,positive,surprise
335,"Wow, I hardly ever have plans.",self,na,neut,na,neut,surprise
336,"And the parents' club decided to pay for our breakfasts, so I got a free buffet!",self,past,positive,positive,positive,joy
337,"I tried to pay her back, but she wouldn't let me. So I got a free spiffin' sweet green tie-dyed OVAC shirt, too.",self,present,positive,neut,positive,joy
338,Today rocks!,other,na,neut,na,na,joy
339,"We'll just have to drag her down to the rink one of these days, lol!",self,present,negative,neut,negative,joy
340,I love skating.,self,na,positive,na,positive,joy
341,She's amazing.,other,na,positive,na,na,joy
342,"Like, most definetely on my top favorite authors list.",other,na,positive,na,positive,joy
343,"I love making up stories, retelling stories, and writing down everything.",self,present,positive,neut,positive,joy
344,mine pretty much are bland.,other,na,positive,na,na,sadness
345,"What they like to eat, what music they like, etc. And I don't!!",self,present,positive,neut,positive,joy
346,Sigh.,other,na,neut,na,na,sadness
347,"Well, any advice on writing would be appreciated.",other,na,positive,na,na,joy
348,You actually enjoy driving around rotaries.,other,na,positive,na,positive,joy
349,"You know that there are two Bulger brothers, and that they're both crooks.",other,na,negative,na,negative,disgust
350,The curse of the Bambino is taught in public schools.,other,na,negative,na,na,disgust
351,"You own a ""Yankees Suck"" shirt or hat.",other,present,neut,neut,neut,disgust
352,"You've bragged about the money you've saved at The Christmas Tree Shop You know what a ""regular"" coffee is. You actually get these jokes and pass them on to other friends from Massachusetts.",other,present,negative,neut,negative,joy
353,"So, ok, this happened like week before last, but I thought it was funny enough to mention today.",self,na,positive,na,positive,joy
354,"So Brandon and I were chilling out one night at home, after being out all night, and we decided to step out on the patio for a quick smoke.",self,na,negative,na,negative,joy
355,"Well, the new dog; Louis, went running out onto the patio and barking up a storm, as I stuck my head out, there sat this stupid young dude trying to break into my neighbor's (across the street) car.",self,present,negative,neut,neut,anger
356,"This time, unfortunately, he'd broken INTO the car already and was fishing things out.",other,present,negative,neut,negative,sadness
357,I pick up my phone ON THE BALCONY and call the cops wihle I'm walking behind this joker.,self,present,negative,neut,neut,disgust
358,The cops come outta nowhere this time.,other,present,neut,neut,neut,surprise
359,"But now I feel much happier and safer, and the neighbors all love me.  Did I mention it was after 2am every time the break-in occurred?",self,present,positive,neut,positive,joy
360,"They still love me, even though I woke them up at the butt-crack of dawn.",self,present,positive,neut,positive,joy
361,It's a beautiful thing.,other,na,positive,na,na,joy
362,=o)  Although I feel like I've been on a really bad episode of 'Law &amp; Order' now.,self,na,positive,na,positive,sadness
363,"Afraid, confused, without a road map.",other,na,negative,na,neut,fear
364,"Of course, when faced with the unknown many of us would turn around and run back.",other,na,negative,na,neut,fear
365,Into something better.,other,present,positive,neut,na,joy
366,"Something just beyond the pain of going on alone and just beyond the bravery and courage it takes to let someone in, or let them fade away.",other,present,positive,neut,neut,sadness
367,My worst fears have been personified.,other,na,negative,na,na,fear
368,I only know that it could be anytime within the next 60 days.,self,na,neut,na,neut,fear
369,Woot I finally got an ipod with video (30g)!,self,past,neut,neut,neut,joy
370,Its kinda bad because I was feeling really sad/unhappy the day I baught it.,self,present,negative,neut,neut,sadness
371,but oh I was a bad girl and put it on my best buy card.,self,present,positive,neut,na,sadness
372,"I got a black one, and oooh its so sexy!",self,past,positive,neut,neut,joy
373,"Maybe a full case too, because the lil black pocket thing it came with is a little too snug, I have to force the lil bitch into it all the time.",self,present,negative,neut,negative,disgust
374,Eh.,other,na,neut,na,na,surprise
375,its not that much but hey its something!,other,present,neut,neut,neut,joy
376,"we had our first snowfall just the other day, the trees have gone to sleep and finally the walnuts have stopped falling on my garage roof and scaring me when i take my still lame dog out to take a shit before bed.",self,present,negative,neut,negative,fear
377,"three very dear friends of mine have lost very important people in their lives, and i have had to be the strong one they can lean on.",self,past,positive,positive,positive,sadness
378,though i do not mind this one tiny bit it has been odd for me.  i'm rarely the strong one.,self,present,positive,negative,negative,surprise
379,i am usually the one reduced to laying on the big green couch in the fetal position eating leftover pizza and crying about nothing and everything all at once.,self,present,negative,neut,na,sadness
380,didn't see that one coming.,other,present,neut,neut,na,surprise
381,but that scares me even more.,other,na,negative,na,negative,fear
382,"i love him dearly and will forever, but i definately was not ready for that.",self,present,positive,neut,positive,joy
383,"in  a word, lost.",other,na,negative,na,na,sadness
384,i feel lost.,self,na,negative,na,negative,sadness
385,"very disconnected to everyone and everything, not sure where to go from here.",other,na,neut,na,na,sadness
386,gotta milk those quarter-life crises for all they're worth.,other,na,positive,na,na,sadness
387,have a great idea for a new scarf.,other,present,positive,positive,na,joy
388,I didn't mean to hurt this person at all.,self,present,negative,neut,negative,sadness
389,I was just scared.,other,na,negative,na,na,fear
390,I'm scared of my future.,other,na,negative,na,na,fear
391,"I look ahead and I want to see me being a successful missionary/psychologist, married, with kids, and a great life.",self,na,positive,na,positive,joy
392,Un-happy people.,other,na,neut,na,na,sadness
393,I don't want to get hurt.,self,na,negative,na,negative,sadness
394,*sighs*  I have a bad habit of hurting people before they can hurt me.  Like if I think that someone could and might hurt me then I hurt them first.,self,present,negative,neut,negative,sadness
395,"Then I think if I commit myself to this person only, what if I'm missing out on someone else?",self,present,negative,neut,neut,fear
396,What if this isn't the right person for me and I'm making a huge mistake?,self,present,positive,negative,negative,fear
397,Welp today has been a long tiring day lol.,other,na,negative,na,na,joy
398,Doctor says not to let them sleep on there belly for a while and thats the only way he sleeps good!,other,present,positive,positive,positive,joy
399,lol.,other,na,neut,na,na,joy
400,I need a nap though I will tell you that lol.,self,present,neut,neut,neut,joy
401,lol.,other,na,neut,na,na,joy
402,Oh well I know its something that comes along with having a baby lol.,self,present,positive,neut,neut,joy
403,I will be glad when my mom gets here so we can go to wal-mart and then I can come back home and take a little nap.,self,present,positive,neut,neut,joy
404,"lol,and so we figgured we would just go to Six Flags.",self,na,neut,na,neut,joy
405,HAHA!,other,na,neut,na,na,joy
406,LOL.,other,na,neut,na,na,joy
407,"Our one year wedding anniversary, we had Landon this month,David's birthday today,other family members birthdays that are this month,halloween and tons of other stuff lol.",self,past,neut,neut,neut,joy
408,"I still need to do laundry later and I need to do the dishes and then maybe just maybe I will get to lay down for a bit before he wakes upEhh prolly not lol Oh and for everyone that wants to see the baby if there is not a nice day coming up you may have to come to my house because its to cold for us to be taking him out in this weather,I don't need a sick baby along with my hundred other problems lol,that or you can come visit when we are over at my grandpas,other than that your s.o.l on seeing my lil stud muffin lol.",self,present,negative,neut,negative,joy
409,"The OT whoring now is to make enough to pay bills on time, not to buy new and fun things.",other,present,positive,neut,positive,joy
410,"We just celebrated 3 great months on the 8th, and last night we carved pumpkins (she brought me a pumpkin, it was pretty sweet).",self,past,positive,positive,positive,joy
411,"Bagpiping got moved to one of our ""together"" nights, so that puts a small damper on the time we see each other for every week.",self,present,negative,neut,negative,sadness
412,"This is good for the odd hour shooter like me. Also, there is a 25 yd outdoor range, which accepts a variety of loads (shotgun, magnum, etc).",other,present,positive,positive,neut,joy
413,"The best part is, I shoot pretty well there, and the lighting is really good.",self,na,positive,na,positive,joy
414,We are starting to get some interesting inquiries.,self,present,positive,positive,positive,joy
415,Ha!,other,na,neut,na,na,joy
416,But I love it.,self,present,positive,neut,positive,joy
417,Like thousands of people poured into the street last night for excitement.,other,na,positive,na,positive,joy
418,Wow.,other,na,neut,na,na,joy
419,your hair looks like shit Mary.,other,na,positive,na,positive,disgust
420,They're cute.,other,na,positive,na,na,joy
421,"Everyone is gone and I just cleaned up, so now I'm going to loosen up my buttons, take a long hot shower, put on my clothing and my adorable pea coat, and make my way downtown.",self,present,positive,neut,positive,joy
422,Disaster.,other,na,neut,na,na,fear
423,I almost died.,self,na,negative,na,negative,fear
424,Within a week I bid on and won about 14 cookie jars.,self,past,positive,neut,positive,joy
425,They are just so cute I can't resist them although I think I am under control now.,self,present,positive,neut,neut,joy
426,The lady at the post office is starting to laugh at me.  Where am I going to put them all?,self,na,neut,na,neut,joy
427,I have only had one bad experience on Ebay so far.,self,past,negative,negative,negative,sadness
428,I emailed the seller and told him about it and he was very arrogant and rude.,self,past,negative,neut,neut,anger
429,I told him he was a f----ing a--hole and gave him a negative rating.,self,past,negative,neut,negative,anger
430,He in turn gave me a negative rating.,other,past,negative,negative,negative,anger
431,And because I am such a perfectionist the negative rating had me bummed for awhile but now I am better.,self,na,negative,na,positive,sadness
432,We have been staying pretty close to home but still having a good time.,self,present,positive,positive,positive,joy
433,It has finally cooled down a bit which is a big relief.,other,past,positive,positive,positive,joy
434,"I love my ""nap and story time with BooBoo every afternoon.""",self,present,positive,neut,positive,joy
435,"Oh shit, day by day update.",other,na,negative,na,neut,disgust
436,"So, I love 4 day weeks of school, I really do.",self,present,positive,neut,positive,joy
437,"First off, it's a hike to get up to this place, and I can't see worth shit in the dark.",self,present,negative,positive,positive,disgust
438,"We were up there for awhile and Idk why or how, but Ryan pushed me off of this bench and I fell flat on my back scraping my hip up, which hurts ha.",self,present,negative,neut,neut,sadness
439,"Then they were cutting this damn tree down, and they made me go with then by dragging me over since I didn't want to go, and when I tried to sneak away.",self,present,negative,neut,negative,anger
440,I guess I walked behind Ryan right when he swung this huge ass AXE and he swung it right into my face!,self,past,positive,neut,positive,anger
441,"Not only all that, I ended up calling Aubrey, and ending up balling like a baby, because I really do miss her and everything we used to have.",self,present,positive,neut,neut,sadness
442,"Even after getting off the phone with her, I balled forever.",self,present,neut,neut,neut,sadness
443,It was real lame.,other,na,negative,na,na,disgust
444,Ehh Other than that it was a good time.,other,present,positive,neut,na,joy
445,"Today, Chels made me a sandwhich since she loves me, and I had some soup so I feel better.",self,present,positive,neut,neut,joy
446,"Yeah, I know, right up there with Custer laughing off a few measly Indians.",self,present,positive,negative,positive,joy
447,"But my beloved G.P., who usually just prescribes stuff for me over the phone, starts throwing around words like ""orthopedic,"" ""surgery,"" and ""x-rays"" and I start thinking, ""oh shit!""",self,present,positive,neut,positive,disgust
448,So what's a girl to do to cheer herself up?,other,present,positive,neut,na,joy
449,"So I'm old, but I have these really cute Etienne Aigner boots to show for it.",self,present,positive,positive,positive,joy
450,My gene pool used to lie before me like a pretty lake and I rarely gave it much thought.,self,na,positive,na,positive,joy
451,"the times I have felt most free, most alive,",self,na,positive,na,positive,joy
452,"the times we have been at our best, have shone brightest,",self,present,positive,positive,na,joy
453,or just set fire to the whole thing and made it up as we've gone along.,self,past,neut,neut,neut,anger
454,Sucks for Levon but he said he wouldn't let me drive with the trailer anyways.,other,na,neut,na,neut,disgust
455,"Plus, this means I can get my drivers license in AZ which means it will be good for 65 years!!",self,present,positive,neut,neut,joy
456,HAPPY BIRTHDAY JAMIE!!,other,na,neut,na,na,joy
457,Everybody call me. Just letting you all know I suck at at tests.,self,na,negative,na,negative,disgust
458,"first: heh heh  heh, so appropriate fer me.",other,na,positive,na,na,joy
459,"couldn't the fucking terrorists decide to get caught, you know, after i landed?",self,na,negative,na,neut,anger
460,they had to be stupid terrorists and think in their fundementalist clouded minds that they'd change the world!,other,present,negative,neut,negative,anger
461,"or convert everyone to Islam, or just blow you up one by one in a fucking plane, train, or automobile.",other,present,negative,neut,na,anger
462,so fuck off.,other,na,negative,na,na,anger
463,"so far, all you've done is to cause international travellers the annoyance of having to hand over their toothpaste and make sure their baby's formula isn't nitroglycerin by drinking some.",other,present,negative,neut,neut,anger
464,you've killed less people in the last six years than we did to ourselves in a week in 1916.,self,past,negative,neut,negative,anger
465,so fuck off.,other,na,negative,na,na,anger
466,"if you read history instead of fucking dogma all the god damn time you'd realize we're perfectly capable of raining destruction upon ourselves in a very effective manner, thank you very much.",self,present,positive,positive,positive,anger
467,"how about you ignore us, we'll ignore you, you all can go to heaven and we can all be infidels and suffer through our evil.",self,present,negative,neut,negative,anger
468,what do you care if all ours are all bad.,other,present,negative,neut,negative,anger
469,"i'm being a little flippant here, but i'm sure you get the point.",self,present,neut,neut,neut,disgust
470,because you are ANNOYING US.,other,present,neut,neut,neut,anger
471,which is worse than pissing us off.,other,present,negative,neut,na,anger
472,"because when you piss us off, we have to used measured restraint.",self,present,neut,neut,neut,anger
473,when you annoy us long enough NO ONE WILL CARE ABOUT RESTRAINT.,other,present,positive,neut,negative,anger
474,we'll just let our governments do whatever the fuck they want because we want to brush our fucking teeth on a plane after some really bad airplane food.,self,present,negative,neut,negative,anger
475,never underestimate the power of wide spread apathy and annoyance.,other,na,negative,na,na,anger
476,AND I'M ANNOYED.,other,na,neut,na,na,anger
477,"its your fault, it really is.  so when i'm standing in line, or waiting around, i'll be thinking of you.",self,na,negative,na,negative,anger
478,trying to keep my rational and logical mind from straying to bad thoughts about how stupid the human race is and how religion is nothing but trouble.,other,present,negative,positive,negative,anger
479,and try and sympathize with those being racially profiled ahead of me and making for an even longer wait in line.,other,na,neut,na,neut,sadness
480,fuck off.,other,na,negative,na,na,anger
481,The job was frustrating today.,other,na,negative,na,na,disgust
482,it's annoying as all get out.,other,na,negative,na,neut,anger
483,Then they throw a little hissy fit for 5 minutes as I repeat myself over and over.,self,present,neut,neut,neut,anger
484,And then I get an equally obnoxious call.,self,present,negative,negative,negative,anger
485,This happened an unhealthy amount today.,other,past,negative,negative,negative,disgust
486,And then the dispatcher was all pissy with me over some redelivery shenanigans I was doing wrong.,self,na,negative,na,negative,anger
487,"Talking about running into ongoing traffic and killing himself, and doing weed.",other,present,negative,neut,na,anger
488,Sheldon and I told him to shut up.,other,past,neut,neut,neut,anger
489,He got up and said he doesn't have to take this from us and was especially angry at me. I was a mega bitch to him.,self,present,negative,neut,neut,anger
490,He was so good-looking.,other,na,neut,na,na,joy
491,"Words like that made me and Phil stop smiling, look straight at Sheldon, and say ""shut up"" at the same time.",other,present,positive,positive,positive,anger
492,"Hell, NEVER make them.",other,present,neut,neut,neut,anger
493,A couple of times Sheldon would say things to him and he would get angry and tell him to shut up.,other,present,negative,neut,neut,anger
494,haha.,other,na,neut,na,na,joy
495,"It was brief, and every single time, we would smile.",self,na,positive,na,positive,joy
496,The whole way there he was grabbing onto poles and screaming like a banshee and his friend Johnny (who came along) got a swift punch in the nuts from Phil.,other,past,positive,positive,positive,anger
497,"I asked Phil, ""what the hell are you doing?"" and he looked angrily at me. Like I did anything wrong.",self,present,negative,negative,negative,anger
498,Was I wrong to be taken aback by that?!,self,na,negative,na,na,surprise
499,"I started talking to him about why he was so mad, and he said ""you called me retarded"", and I explained that he was being a prick.",self,na,negative,na,negative,anger
500,"And he said that since he started drugs, he's a prick.",other,past,negative,neut,negative,anger
501,"He ""whatever""ed me. UGH.",other,present,neut,neut,neut,anger
502,"They followed, but Daniel took two minutes to look back at me. I was angry.",self,past,negative,neut,neut,anger
503,My facial expression was beyond hurt.,other,na,negative,na,na,sadness
504,I know I shouldn't have been snotty about it but I thought it was fucking obvious.,self,na,negative,na,negative,anger
505,"I called home to as my mom for a ride but she said she was busy, I WAS NEAR CRYING AND SHE WAS ""BUSY""?",self,past,neut,neut,neut,sadness
506,We hung out in his car for the rest of the day talking and laughing.,self,na,negative,na,negative,joy
507,ive missed it so.,other,past,negative,neut,negative,sadness
508,"the trip was fantastic, plimoth was old and there were real live pilgrims everywhere, salem was cute and adorable but very touristy, ithaca was gorgeous and adorable and joel was there so the whole thing made me very happy and clearly that was the highlight of the trip, niagara was fantastically beautiful but boring once you've seen the falls, buffalo was sketchy but had great wings and now im home, and i think it's the most wonderful place ive ever been and i dont ever want to leave!",self,past,positive,positive,positive,joy
509,"well, give me two weeks and i'll be out of here but for now, it's good.",other,present,positive,neut,na,joy
510,it was wonderful to be away from home but it is indeed wonderful to be back.,other,na,positive,na,na,joy
511,i felt particularly inspired a few hours after we left ithaca becos i had finally finished stone garden and reading that book always sends me into great fits of creation.,self,present,positive,neut,positive,joy
512,the only thing im sure of at this moment in time is that life is beautiful and i am just so satisfied and so content.,other,na,positive,na,positive,joy
513,but for now im going to go experience how fabulous the night sky smells.,other,na,positive,na,positive,joy
514,"Work is going well I suppose, most people are nice and I've been warned of which ones are better to avoid.",self,present,positive,neut,positive,joy
515,"They're starting to put me in other parts of the store, which is kind of nifty.",other,present,positive,neut,neut,joy
516,"I've been having random fears and doubts lately, but that happens.",self,present,negative,negative,negative,fear
517,"I suppose there's been a fair amount of drama, including some with my ex Sadie.",self,na,positive,na,positive,sadness
518,Woot.,other,na,neut,na,na,joy
519,"But I, with my mad Photoshop skills, was able to convert it to the corect color space while faithfully maintaining the appearence and detail of the image, including the gradations.",self,present,positive,neut,na,anger
520,I'm the man!,self,na,neut,na,na,joy
521,"P.S. If you don't understand exactly what I did (it's a bit technical), just know that it was impressive and I rock.",self,na,positive,na,positive,joy
522,"But anyway, so we watched tv during the morning and when 4pm came by, we decided to do laundry and play Burnout 3; I beat his ass!",self,present,neut,neut,neut,joy
523,LOL.,other,na,neut,na,na,joy
524,"I guess today was somewhat fun, considering I spent the day with my younger brother.",self,na,positive,na,positive,joy
525,"But other than that, I feel really alone right now because it's Friday and I'm home!",self,na,positive,na,positive,sadness
526,I haven't really been going out much and it just makes me mad since I told myself this summer I'd make the best of it since I'd be going to university in September.,self,present,positive,neut,negative,anger
527,"Gosh, in exactly one month school's going to start and boy am I nervous.",other,na,negative,na,na,fear
528,Congratulations- and Welcome to Corporate America- where the Vice Presidents and Senior Officers and Managers don't hibernate-- they walk among you.,other,present,neut,neut,neut,joy
529,I love it.,self,present,positive,neut,positive,joy
530,I have a 99 average in my class.,self,present,neut,neut,neut,joy
531,I'm LOVING the call center.,self,present,neut,neut,neut,joy
532,"When your Trainer comes into the room all smiles after lunch and announces that she moved up ONE level- (From ABT Trainer 1 to ABT Trainer 2) and got a $10,000 salary increase.",other,past,positive,neut,neut,joy
533,It makes me sick that my trainer is 24.,other,na,negative,na,negative,disgust
534,The advancement opportunities are just awesome.,other,na,positive,na,na,joy
535,Spend 1 year answering calls for the Claims spread- and then be free to go to where-ever your heart desires.,other,present,positive,neut,na,joy
536,I've been staying at Mary's house and she keeps telling me I'd be an awesome mommy.,self,present,positive,neut,neut,joy
537,I see everyday just how much good that company does.,self,present,positive,positive,positive,joy
538,She never once had a caller that she didn't make laugh- at least once during their call.,other,past,neut,neut,neut,joy
539,and it's killing me.,other,present,negative,neut,negative,sadness
540,I'm starting to fray at the ends- the next step is to break- somethings gotta give and I'm pulling with all my might to keep everything together.,self,present,neut,neut,negative,sadness
541,I'm tired of broken promises- and empty dreams.,self,na,negative,na,na,sadness
542,The thread to this relationship is wearing thin- it's on it's last strand- and though he may think it's cool to not do what he says hes going to- it's not cool to me.,other,present,positive,neut,positive,sadness
543,The worst part is- I love him.,self,present,positive,neut,positive,sadness
544,I love him with every ounce of everything that I am- but try as I might- we just cant' get it together.,self,present,positive,neut,positive,sadness
545,We're still together- and we still have the opportunity to make things right - - - but I'm a very patient person- and it's been close to 5 years now- and my patience is wearing thin.,self,present,positive,positive,positive,sadness
546,"Yes, we are having a small celebration today.",self,na,positive,na,positive,joy
547,I am always so happy after talking to him!,self,na,positive,na,na,joy
548,So they thought they were going for 12 and Wayne thought he was going for 10 and then one day BOOM they are staying for 16.,other,na,neut,na,neut,surprise
549,And every sigle one of them are furious.,other,na,negative,na,na,anger
550,Wayne says that the tension is unreal.,other,na,positive,na,positive,anger
551,"I told her that she better get on the ball and she looked at me and yawned so maybe that was a yes, lol.",self,past,positive,neut,neut,joy
552,"That was one of the first things that Wayne wanted to know ""hows alley, has she had the pups"" I think he loves those dogs as much as me! I'll never forget the first tail that he docked by himself (it was Tuff's tail).",self,present,positive,positive,positive,joy
553,I was so proud.,self,na,positive,na,na,joy
554,He had watched me dock two litters but still he did a great job.,other,present,positive,neut,positive,joy
555,But I am still SOOOOO excited that I'll get to see him for 5 days!!!!!!!!,self,present,positive,neut,neut,joy
556,"""I love Poodie's"" site is so inspiring.",self,present,positive,neut,positive,joy
557,I feel very uninspiring.,self,na,neut,na,neut,sadness
558,I am going to give it a try and I apologize if it's boring or ugly.,self,present,negative,neut,neut,disgust
559,Argh!,other,na,neut,na,na,anger
560,I am currently angry because I want Jarred to take me for DQ Blizzard.,self,present,negative,neut,neut,anger
561,"OH OH OH  he is yelling at me, ""Are you ready to go, already!""",other,na,positive,na,positive,anger
562,Three people have been laid off at the office in the past hour.,other,na,neut,na,na,anger
563,I'll miss them and can't say goodbye properly now.,self,present,positive,neut,negative,sadness
564,&gt;sigh&lt;,other,na,neut,na,na,sadness
565,I'm excited to move in!,self,na,positive,na,na,joy
566,pretty scweet.,other,na,positive,na,na,joy
567,lol jk),other,na,neut,na,neut,joy
568,despite the terror.,other,na,negative,na,na,fear
569,This week was mucho fun.,other,na,positive,na,na,joy
570,"Haha he's my bestest buddy in Algebra, he had 'abs of steel today', &amp; just for today.",other,past,neut,neut,neut,joy
571,Inside joke inside joke.,other,na,negative,na,na,joy
572,"Ew, we had this really crappy sub.",self,past,negative,negative,negative,disgust
573,for U.S. history too ! But I love that class [: Walking home is always really fun too.,self,present,positive,neut,positive,joy
574,"She was just a pain in the ASS &amp; yeeah, sucks to be her.",other,na,negative,na,na,disgust
575,"Thursday was like, really fun.",other,na,positive,na,na,joy
576,"I never really noticed it but Natalie, Ryan, Christan &amp; Leslie are fun to be around with.",self,na,positive,na,positive,joy
577,Hahah.,other,na,neut,na,na,joy
578,Friday was even more fun [: I ended my day in the ASB &amp; yeah.,self,na,positive,na,neut,joy
579,Ew.,other,na,neut,na,na,disgust
580,Hahah.,other,na,neut,na,na,joy
581,I LOVE HER HOUSE.,self,present,neut,neut,neut,joy
582,"She had all these cool stuff I wanna take, hahah.",self,past,positive,positive,positive,joy
583,We pretty much waisted are money buying 2 Sparkled Water that we though were naasty.,self,present,positive,neut,positive,disgust
584,Fun fun fun.,other,present,positive,positive,na,joy
585,Sucks I didn't bring my camera but yeeah.,self,present,neut,neut,neut,disgust
586,"&amp; I think tomorrow a friend`s coming over ? Not sure who, haha kaay bye.",self,present,neut,neut,neut,joy
587,I must say this summer has gone by in the blink of an eye.,self,na,neut,na,neut,surprise
588,just once I would love to not have to worry about that sort of thing.,self,na,positive,na,positive,joy
589,Should be interesting.,other,na,neut,na,na,joy
590,I was beginning to worry I'de have to put it off for yet another term.,self,present,negative,neut,negative,fear
591,hey I'll be a rich individual.,self,na,positive,na,na,joy
592,whoot.,other,na,neut,na,na,joy
593,I'm really in it just for the money ;).,self,na,neut,na,na,joy
594,Worry gains you no more minutes to  your life.,other,na,positive,na,positive,fear
595,and stress.,other,na,negative,na,na,sadness
596,society has become just one big stress pool.,other,na,negative,na,negative,sadness
597,"Our conversations with family, friends, co-workers etc., all seem to revolve around how crappy are day is, has been, or is going to be, and it seems all like we compete with one another to see who has a crappier one.",self,present,positive,neut,positive,disgust
598,"I love my family unconditionally, and cherish every moment with them, even my eldest sister, who pushes me over the edge, but I have developed a certain method inwhich to deal with it.",self,present,positive,neut,positive,joy
599,"I have to look at life in her perspective, and it would break anyones heart.",self,present,negative,neut,negative,sadness
600,"To have something inside of you that you cannot control, something foreign that has stolen away your chance of a normal life.",other,present,negative,neut,neut,sadness
601,"being alienated, being alone.",other,na,negative,na,na,sadness
602,"I have a job where I have come to know some amazing people who have such potential, but possibly will never get to put it to any use due to the cirumstances of the choices in life.",self,present,positive,positive,positive,surprise
603,but they make my time at work memorable.,other,present,positive,neut,neut,joy
604,"I am happy with a casual, not serious, no pressure relationship.",self,na,positive,na,na,joy
605,I frankly would be just as happy alone.,self,na,positive,na,na,joy
606,"lol, lets just hope I don't run out of time to complete it.",self,present,neut,neut,neut,joy
607,"One of those 3 will be moving this fall, and the others have an awful lot going on in their lives, in addition to being less available than the first by a long shot anyhow.",other,present,negative,positive,negative,sadness
608,"I've burned a lot of bridges and engaged in decisions which have hampered my ability to be trusted as much as I'd like to be by some of my friends, and likewise, there have been things which have altered my ability to fully engage some people as well, be they circumstacial or environmental or whatever.",self,present,positive,neut,positive,sadness
609,"On a ""big picture"" scale, I'd like to believe that I still hold the same value system that I held when I was 18 years old, now a scary half-a-lifetime ago.",self,present,positive,neut,positive,fear
610,"All in all, I'm satisfied with the bigger picture and angry as fuck at the smaller details, but that's what keeps you going, isn't it?",other,na,negative,na,neut,anger
611,"Home may be where you hang your hat, but happiness is sometimes found far from home or in the last place you'd even expect to look for it.",other,present,positive,neut,negative,joy
612,"I think sometimes it can be easy to lose track of the idea that happiness and comfort are two completely separate entities and having one does not guarantee or equal having the other (some of the time, at least.",self,present,positive,neut,positive,joy
613,"It goes back to that whole journey vs. destination idea, in that some people only mark success by arriving at a goal, while others are capable of enjoying the efforts required to reach that goal as well.",other,present,positive,positive,positive,joy
614,"Friendship works the same way- some people only appreciate friendships which are productive and goal-oriented, whereas there are also friendships that meander along the way, and each moment can be as interesting and rewarding as the ones before and after.",other,present,positive,neut,positive,joy
615,I know I'm guilty of that all the time.,self,na,negative,na,negative,sadness
616,Often we fail to realize what we've lost until something becomes too distant and difficult to regain.,self,past,negative,neut,negative,sadness
617,"Old wounds fester into something that can't be healed, neglect becomes forgetfulness which then becomes amnesia, and before long you wonder if it ever happened.",other,na,negative,na,positive,sadness
618,"It sucks, and it takes effort to keep a swerving friendship from heading down these sort of paths, but the effort far outweighs the consequences of failing to do so.",other,present,negative,neut,negative,disgust
619,"I can only change my own mind, so whatever efforts I expend have to be met with some sort of equal efforts or the process goes nowhere and frustrates me the entire way.",self,present,negative,neut,neut,disgust
620,"As of late, it seems that everything my parents do, they do it just to annoy me. They're great parents.",other,present,positive,neut,neut,anger
621,I love them.,self,present,positive,neut,positive,joy
622,GOD are they annoying me.,other,present,negative,neut,negative,anger
623,"I'm not going to go into specifics here, but it almost always ends up in yelling and tears.",self,na,neut,na,neut,anger
624,I was thinking about our most recent spat today at dinner and wondering why the hell everything turns out this way.,self,present,positive,neut,positive,anger
625,"Now, I know that I will reach this place soon enough, but damn it feels like it is taking forever.",self,present,positive,neut,neut,anger
626,Frenchie Fucked Off.,other,na,neut,na,neut,disgust
627,"Lots of angry costomers with half finished work, a boss who pays for the furniture but has no idea how to run a business.",other,present,positive,positive,positive,anger
628,It's been a week and I'm still really pissed off.,other,na,neut,na,na,anger
