ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
400,Matt shines with his Alpine finish,other,na,positive,na,neut,joy
401,BP CEO Browne to step down in June,other,na,neut,na,na,sadness
402,An iPhone by any other name? Surely not,other,na,neut,na,na,surprise
403,Life in Gaza steadily worsens,other,na,negative,na,na,sadness
404,The energy challenge | Exotic visions: how to cool a planet (maybe),other,present,positive,neut,neut,surprise
405,"Easy ways to (really) save $400,000",other,na,neut,na,na,joy
406,Shareholders sue Apple,other,na,negative,na,na,anger
407,Findings: Can humanity survive? Want to bet on it?,other,na,neut,na,neut,fear
408,Iran steps up production of weapons-grade uranium,other,present,neut,neut,neut,fear
409,Rig-threat cargo ship towed ashore,other,na,neut,na,neut,fear
410,Palestinians say clashes hurt their cause,other,present,negative,neut,negative,sadness
411,Male sweat can raise hormones,other,present,neut,neut,neut,surprise
412,Vital Signs: Hazards: Antidepressant linked to fractures in older people,other,na,negative,na,na,surprise
413,Peron held over '70s rights abuses,other,na,positive,na,positive,sadness
414,Space life search turns to TV,other,na,neut,na,neut,surprise
415,"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",other,present,negative,negative,na,sadness
416,YouTube told to drop celeb sex video,other,present,neut,neut,neut,surprise
417,Beckham and Posh and more athlete-celebrity couples,other,present,neut,neut,na,joy
418,City sets up ice storm shelters,other,present,neut,neut,neut,fear
419,Libby prosecutors await judge's rulings,other,present,neut,neut,neut,sadness
420,Review: 'Alpha Dog' misses the point,other,present,negative,neut,negative,sadness
421,Republicans plan to block Iraq debate,other,present,neut,neut,na,anger
422,Mixed reaction to China's Africa push,other,present,neut,neut,na,surprise
423,Snowed in the Canadian Rockies,other,na,neut,na,na,joy
424,"Skip the showers: male sweat turns women on, study says",other,present,neut,neut,neut,surprise
425,Gently Weeps' lyrics sheet up for sale,other,na,neut,na,neut,joy
426,Canete wins inaugural Joburg Open,other,na,positive,na,positive,joy
427,Rights group halts violent Nepal strikes,other,na,negative,na,na,joy
428,Real suffer Carlos injury setback,other,present,negative,negative,negative,sadness
429,Astronaut may have buckled under stress,other,na,negative,na,negative,sadness
430,Gunmen abduct Filipino woman in Nigeria,other,na,neut,na,na,fear
431,NFL team's fan of the year: 'Flag Lady',other,na,neut,na,na,joy
432,No 10 rejects police state claim,other,na,negative,na,neut,surprise
433,Malaysian AirAsia X to fly in July,other,present,neut,neut,na,joy
434,10 kidnapped at Nigeria oil base,other,na,neut,na,neut,fear
435,Guy sweat is babe magnet,other,na,neut,na,na,surprise
436,Township tourism booming in South Africa,other,na,positive,na,na,joy
437,'Alpha Dog' misses the point,other,present,negative,neut,negative,surprise
438,Iran leader pays Nicaragua a visit,other,present,neut,neut,neut,surprise
439,"'Grey's,' 'Pirates' lead People's Choice",other,na,positive,na,na,joy
440,Terror network,other,na,neut,na,na,fear
441,Now it's official: Iraq's a mess,other,na,negative,na,na,sadness
442,Snow brings travel misery to England,other,present,negative,negative,negative,sadness
443,James Brown's 5-year-old son left out of will,other,na,neut,na,neut,surprise
444,Two men killed by London tube train,other,na,negative,na,negative,sadness
445,US millions fail to buy influence in deadly Gaza power play,other,present,negative,neut,negative,sadness
446,PLO ministers agreed upon in Mecca,other,na,neut,na,neut,joy
447,Squadron apologies over 'friendly-fire' death,other,na,negative,na,na,sadness
448,New Orleans violence sparks tourism fears,other,present,negative,negative,negative,fear
449,Friendly fire pilot 'experienced',other,na,neut,na,na,fear
450,SPACE.com: Black hole triplets spotted,other,na,neut,na,neut,surprise
451,Vaccines: Mandate or choice?,other,na,neut,na,na,surprise
452,"Congolese soldiers riot, loot over pay issue",other,na,negative,na,na,anger
453,Commodities lead Europe higher,other,na,positive,na,positive,joy
454,Ingredient in male sweat raises women's hormone levels,other,present,neut,neut,neut,surprise
455,Goetschl ends Austrian win drought,other,present,positive,positive,positive,joy
456,Doomsday Clock ticking away,other,na,neut,na,na,fear
457,Troops massing around Somali town,other,na,neut,na,na,fear
458,Tariq Ramadan has an identity issue,other,present,negative,negative,negative,surprise
459,Peretz orders IDF to respond with force to north border attacks,other,na,negative,na,negative,anger
460,Trains crash near Thai resort town,other,na,negative,na,na,sadness
461,"Hamas, Fatah return to unity gov't talks in Mecca",other,na,positive,na,na,joy
462,Pats' fourth-quarter rally finishes Chargers,other,present,neut,neut,neut,joy
463,7 Die As US Helicopter Crashes in Iraq,other,na,neut,na,na,sadness
464,Millionaire secret Santa dies,other,na,neut,na,negative,sadness
465,Morrissey may cheer up Eurovision,other,present,positive,neut,positive,joy
466,Christian values guide Dungy and the Colts,other,na,neut,na,na,joy
467,Israeli woman's tirade spurs PM outrage,other,present,negative,negative,negative,anger
468,Passing exchange becomes political flashpoint,other,na,neut,na,neut,anger
469,Police probe 2 church fires half mile apart,other,present,neut,neut,neut,sadness
470,Italy to try US soldier for agent's Iraq death,other,present,negative,neut,na,anger
471,Depp to star in spy poisoning film,other,na,neut,na,na,joy
472,'24's' Jack Bauer returns,other,na,neut,na,neut,joy
473,US Airways boosts bid for Delta,other,present,positive,neut,positive,surprise
474,"Even before its release, world climate report is criticized as too optimistic",other,na,positive,na,na,fear
475,"Second hanging also went awry, Iraq tape shows",other,na,neut,na,neut,sadness
476,Howell takes one shot lead in Sony Open,other,present,positive,positive,positive,joy
477,Psych checks reviewed after astronaut's crack-up,other,na,neut,na,neut,sadness
478,"Pap Test, a mainstay against cervical cancer, may be fading",other,na,negative,na,na,surprise
479,Martins leads Newcastle fightback,other,present,positive,neut,positive,joy
480,PS3 pricey but impressive,other,na,positive,na,na,joy
481,Pluto's revenge: 'Word of the Year' award,other,present,positive,positive,positive,joy
482,European Space Agency,other,na,neut,na,na,joy
483,Hackers strike at key Internet servers,other,na,negative,na,na,anger
484,Hussein co-defendants executed,other,na,neut,na,neut,sadness
485,Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail,other,present,negative,neut,neut,fear
486,Blissing out in Ojai,other,na,neut,na,na,joy
487,"Houston, she's got some problems",other,past,negative,negative,na,sadness
488,Amazon.com has 'best ever' sales,other,present,neut,positive,positive,joy
489,Hackers attack root servers,other,na,negative,na,na,anger
490,Video games can improve your vision,other,present,positive,neut,positive,surprise
491,Internet attacked! (Did anyone notice?),other,na,negative,na,na,surprise
492,"In Washington, contractors take on biggest role ever",other,na,neut,na,neut,surprise
493,Floods force Malaysia evacuations,other,na,neut,na,na,sadness
494,"On MySpace, girls seek friends, boys flirt",other,present,negative,negative,negative,surprise
495,Tests of drug to block H.I.V. infection are halted over safety,other,present,negative,negative,na,fear
496,Zoo polar bear to have root canal,other,present,neut,neut,na,sadness
497,Europe take big Royal Trophy lead,other,present,positive,positive,positive,joy
498,Israel to install cameras to show live Mughrabi footage,other,present,neut,neut,na,joy
499,'We lit our last candle yesterday',self,past,neut,neut,neut,sadness
500,Google buys YouTube for $1.65bn,other,present,neut,neut,neut,surprise
501,PSP number one Sony platform in Japan,other,present,neut,neut,neut,joy
502,England include Giles in WC squad,other,present,neut,neut,neut,joy
503,Beckham 'won't play again for Real',other,na,neut,na,neut,sadness
504,Eight years for Damilola killers,other,na,negative,na,na,sadness
505,PC World editor slain at California home,other,na,neut,na,neut,sadness
506,Hands on 'Doomsday Clock' move forward,other,na,neut,na,neut,fear
507,Zach Braff says he has 'mild depression',other,present,negative,negative,negative,sadness
508,Investigation of child porn site hits 77 nations USA Today,other,present,neut,neut,neut,disgust
509,Science panel calls global warming unequivocal,other,present,positive,positive,positive,fear
510,News Baby pandas! Baby pandas! Baby pandas!,other,na,neut,na,na,joy
511,Get ready for the earnings,other,na,positive,na,na,joy
512,Germany agonizes over a brain drain,other,na,negative,na,negative,sadness
513,Iran and Nicaraguan leaders meet,other,na,neut,na,neut,joy
514,Secret hotels in Irish countryside,other,na,neut,na,na,surprise
515,Fine wines in British Columbia,other,na,neut,na,na,joy
516,Philippine president welcomes Senate approval of anti-terror bill ,other,present,positive,positive,positive,joy
517,"Small jet crashes on takeoff, killing 2",other,present,negative,neut,negative,sadness
518,"Bigger, more aggressive rats infesting UK",other,present,negative,neut,negative,fear
519,Travel+Leisure: Next island hot spot: St. Lucia,other,na,positive,na,na,joy
520,Real Mallorca rock leaders Sevilla,other,na,neut,na,na,joy
521,Iran's boast on uranium enrichment is put to test,other,na,positive,na,na,fear
522,"Personal health: for teenagers, the car is the danger zone",other,na,negative,na,na,fear
523,Bird watchers flock to see rare owl,other,present,neut,neut,neut,joy
524,Eye on cosmos is lost to short circuit on hubble,other,na,negative,na,na,sadness
525,Too young for this: facing cancer under 40,other,present,negative,negative,na,sadness
526,Unilever group names new chairman,other,na,neut,na,na,joy
527,Minister slams airlines on carbon,other,present,neut,neut,neut,anger
528,Rare optimism as North Korea talks reach crossroads,other,present,positive,neut,neut,joy
529,Man beheaded in southern Thailand,other,na,neut,na,neut,sadness
530,China's 'nightmare scenario',other,na,neut,na,na,fear
531,Annual diving contest in South Korea proves a chilly challenge,other,present,negative,negative,negative,surprise
532,Blair says he regrets delays in British soldier's inquest,other,present,negative,negative,negative,sadness
533,Iraqi forces detain official suspected in Shia conspiracy,other,na,negative,na,na,fear
534,Wellcome awards anti-fat research,other,na,positive,na,na,joy
535,Fingers crossed for North Korea,other,na,neut,na,neut,joy
536,"No intention of war with Iran, US says",other,na,neut,na,neut,joy
537,What Newsom faces in aftermath of scandal,other,present,negative,negative,negative,fear
538,Maggie Gyllenhaal's Globes babysitter: Mom,other,na,neut,na,na,joy
539,"As inflation soars, Zimbabwe economy plunges",other,na,neut,na,neut,sadness
540,Pledge: I was abused in frat hazing,other,na,negative,na,na,disgust
541,Experts: Fear likely shackled boy,other,na,neut,na,na,fear
542,What's behind the chopper crashes in Iraq,other,na,negative,na,negative,fear
543,"Freed Muslim terror suspect says Britain is ""police state""",other,na,negative,na,neut,fear
544,Blair apologises over friendly fire inquest,other,na,positive,na,positive,sadness
545,Depp 'to make Litvinenko movie',other,present,neut,neut,na,joy
546,Why gas follows oil up but not down,other,present,neut,neut,neut,surprise
547,"'Cravings' still there, sez Tara",other,present,neut,neut,neut,joy
548,Bill would strip convicted legislators of pensions,other,present,neut,neut,neut,sadness
549,Bears watch as lead slips away,other,na,positive,na,positive,sadness
550,"In clue to addiction, brain injury halts smoking",other,na,negative,na,na,surprise
551,"In rigorous test, talk therapy works for panic disorder",other,present,negative,positive,na,joy
552,Rice: U.S. won't pull plug on Iraq,other,present,neut,neut,neut,joy
553,"On road to Kosovo independence, a warning: go slow",other,na,negative,na,na,fear
554,Mistrial for officer who refused to go to Iraq,other,na,negative,na,negative,sadness
555,Rebels to join Nepal parliament,other,present,neut,neut,neut,surprise
556,"EMI warns on profits, boss goes",other,na,neut,na,neut,fear
557,Subway collapse caught on camera,other,na,negative,na,na,sadness
558,Stinky but true: men's sweat is made for love,other,na,positive,na,na,surprise
559,"POLITICS-US: reprieve for officer who denounced ""Immoral War""",other,na,negative,na,negative,joy
560,Hunters stalk world's tallest trees,other,present,neut,neut,neut,sadness
561,Fuel spill may lead to missing jet,other,na,positive,na,positive,fear
562,"Sri Lanka floods displace 60,000",other,present,negative,neut,negative,sadness
563,"Justin Timberlake, Cameron Diaz announce split",other,na,negative,na,na,sadness
564,Iran to hit US interests if attacked,other,present,negative,neut,na,fear
565,Israel says hopes to keep Lebanon border calm,other,present,positive,neut,neut,joy
566,Cisco sues Apple over iPhone name,other,present,negative,neut,negative,anger
567,Two Palestinians killed near fence,other,na,negative,na,negative,sadness
568,EarthLink CEO dies at age 49,other,na,negative,na,negative,sadness
569,"A star dies, a family feud is born",other,na,negative,na,negative,sadness
570,"Carter was a disaster, said Ford",other,na,negative,na,neut,anger
571,Super Bowl MVP Manning insists he's one of the guys,other,na,neut,na,neut,joy
572,Personal health: the importance of knowing what the doctor is talking about,other,present,neut,neut,neut,fear
573,Israel's Peretz urges halt to contentious Jerusalem construction,other,present,negative,neut,neut,anger
574,Peter Jackson will never work for me again,other,na,positive,na,positive,anger
575,U.S. keeps Iran options open,other,na,neut,na,neut,joy
576,European shares hit fresh highs,other,past,positive,positive,positive,joy
577,"For women, nothing's like the smell of men's sweat",other,na,positive,na,na,surprise
578,Looking beyond the iPhone,other,na,neut,na,na,surprise
579,Freed kidnap suspect: my terror at police raid,other,na,negative,na,na,fear
580,"Far away, Super Bowl's losers will be champs",other,na,positive,na,neut,joy
581,Woman dies after water binge,other,na,negative,na,negative,sadness
582,Mancuso sparks U.S. celebrations,other,na,positive,na,na,joy
583,ASEAN urges North Korea resolution,other,present,neut,neut,neut,fear
584,Late penalty costs Roma the points,other,na,negative,na,na,sadness
585,Mistrial declared in teacher-student rape case,other,na,negative,na,negative,sadness
586,'Bookworm Adventures' wordsmith's joy,other,na,positive,na,na,joy
587,Kylie's love split,other,na,positive,na,na,sadness
588,iPod good for video games,other,na,positive,na,na,joy
589,Review: virtual 'American Idol' hits right notes,other,na,positive,na,na,joy
590,Leo battles himself,other,present,neut,neut,neut,joy
591,Attorneys point fingers in fight between Ryan O'Neal and son,other,na,neut,na,na,anger
592,John Grisham set for court drama,other,na,neut,na,neut,fear
593,"Bill Gates and Craig Mundie: vista is Secure, employees are not",other,na,neut,na,neut,surprise
594,Iraqis fault delayed U.S. plan in attack,other,past,negative,neut,negative,anger
595,Boy Scouts blamed for starting wildfire,other,present,negative,neut,negative,fear
596,China urges UN action on N Korea,other,present,neut,neut,neut,fear
597,"Scorpion on a plane, a pantful of pain",other,na,negative,na,na,fear
598,Male sweat boosts women's hormone levels,other,present,positive,neut,positive,surprise
599,Mbeki on the big visit from the Chinese,other,na,neut,na,na,surprise
600,French right nominates Sarkozy,other,na,positive,na,na,joy
601,"Israeli, Lebanese clash on border",other,na,negative,na,na,fear
602,North Korea claims nuclear test,other,present,neut,neut,neut,fear
603,Talks begin on Somalia peacekeepers,other,na,neut,na,neut,joy
604,Action games improve eyesight,other,present,positive,neut,positive,surprise
605,"A small part of the brain, and its profound effects",other,na,positive,na,na,surprise
606,IDF shells Lebanese Army positions across northern border,other,na,neut,na,na,fear
607,Thailand: missing 25 years after taking wrong bus,other,present,negative,negative,na,sadness
608,Ballerina sparks anti-fascist row,other,present,neut,neut,neut,anger
609,Internet boom in China is built on virtual fun,other,na,positive,na,na,joy
610,Review: PS3 pricey but impressive,other,na,positive,na,na,joy
611,Machinery orders drive Asia upward,other,present,neut,neut,neut,joy
612,'Lost's' Fox: 'I'm a liar and a cheat',self,na,negative,na,na,disgust
613,Russia to strengthen its military muscle,other,present,neut,neut,na,fear
614,"At Libby trial, Russert of NBC gives and gets",other,na,neut,na,neut,fear
615,North Korea ready to discuss first steps to nuclear resolution,other,present,positive,neut,na,joy
616,Victim: Gunman bought drink after shooting,other,past,neut,neut,neut,surprise
617,Ferrer victorious in Spanish duel,other,na,positive,na,na,joy
618,UK workers on alert for letter bombs,other,na,negative,na,na,fear
619,Did NASA accidentally kill life on Mars?,other,present,negative,neut,negative,surprise
620,"New vaccine for cervical cancer could prove useful in men, too",other,na,positive,na,positive,joy
621,Search on for victims of subway collapse,other,na,negative,na,na,sadness
622,Human error caused Helios crash,other,past,negative,negative,negative,sadness
623,US to prod NATO allies for more troops to defeat Taliban,other,present,positive,neut,na,fear
624,Microsoft supports OpenID authentication standard,other,present,positive,neut,positive,joy
625,No buyer in sight for Napster,other,na,neut,na,na,sadness
626,"Briefly: preloaded iPods, Wal-Mart movies, Apple stores",other,na,neut,na,na,joy
627,China says rich countries should take lead on global warming,other,present,positive,positive,positive,sadness
628,North Korea may begin to dismantle nukes,other,present,neut,neut,neut,joy
629,Tracking down hi-tech crime,other,present,negative,negative,na,joy
630,Barack Obama formally announces bid for president,other,present,neut,neut,neut,joy
631,Kidnappers seize two in Nigeria,other,present,neut,neut,neut,fear
632,"Indonesia may sell, not give, bird flu virus to scientists",other,present,negative,negative,negative,fear
633,"Attack video saddens ""friendly fire"" widow",other,na,positive,na,na,sadness
634,Europe retain trophy with big win,other,present,positive,positive,positive,joy
635,Cutting edge accessories for digital music players,other,present,neut,neut,na,joy
636,Ice storm descends on central U.S.,other,na,neut,na,neut,fear
637,Snow brings travel misery to England,other,present,negative,negative,negative,sadness
638,"Indonesia flood forces 340,000 from homes",other,na,neut,na,na,sadness
639,Iraqi health minister seized in raid ,other,na,neut,na,neut,surprise
640,Ice storm brings chaos in U.S.,other,present,negative,negative,negative,fear
641,Stinky flower mystery solved,other,na,negative,na,neut,joy
642,Congressman rebukes U.S. allies for lack of support in Afghanistan ,other,present,negative,neut,negative,anger
643,Roddick overcomes Federer in final,other,present,neut,neut,na,joy
644,Prehistoric Romeo and Juliet discovered,other,na,neut,na,neut,joy
645,Donald and Goydos share Sony lead,other,na,positive,na,positive,joy
646,U.S. and Iraqis are wrangling over war plans,other,na,negative,na,negative,fear
647,Sea search for missing Microsoft scientist,other,na,negative,na,na,sadness
648,Iran to Hit US Interests if Attacked,other,present,neut,neut,na,fear
649,Blair: Terror battle will be long,other,na,neut,na,na,fear
650,Bear cub returned to the wilderness,other,na,neut,na,neut,joy
651,Carrefour sales growth falls short,other,na,negative,na,negative,sadness
652,"Allied with democrats, Lieberman easily aligns with Republicans",other,na,neut,na,na,surprise
653,"In the Rockies, pines die and bears feel it",other,present,negative,neut,negative,sadness
654,Iran to strike US interests if attacked,other,present,negative,neut,na,fear
655,"Nipple covers, other star secrets",other,na,neut,na,na,disgust
656,Apple: no iTunes for you if you have Vista!,other,present,neut,neut,neut,surprise
657,Smokestacks in a white wilderness divide Iceland,other,present,neut,neut,neut,sadness
658,That'll cost ya,other,present,neut,neut,neut,anger
659,Botched hangings in Iraq speed sectarianism,other,present,neut,neut,na,fear
660,Male sweat raises female hormones,other,present,neut,neut,neut,surprise
661,7 GOP senators to force debate on troops in Iraq,other,present,neut,neut,neut,joy
662,Bangladesh ends curfew amid unrest,other,present,negative,neut,neut,joy
663,Italy's dispute with US over Iraq shooting,other,na,negative,na,na,anger
664,Here come the Globes!,other,present,neut,neut,na,joy
665,Snow causes transport chaos in Britain,other,present,negative,negative,negative,sadness
666,Snow causes airport closures in Britain,other,present,neut,neut,neut,sadness
667,"Second opinion: girl or boy? as fertility technology advances, so does an ethical debate",other,present,positive,positive,positive,surprise
668,Heavy snow causes travel chaos and shuts schools,other,present,negative,neut,negative,fear
669,Barbaro's legacy: saving other horses,other,na,neut,na,na,joy
670,Luxury digs in South Carolina's Lowcountry,other,na,neut,na,na,joy
671,Dozens killed in Baghdad bombing,other,na,negative,na,negative,sadness
672,Ice storms kill 21 across nation,other,present,negative,neut,negative,sadness
673,De Villiers takes over Dakar lead,other,na,positive,na,positive,joy
674,Vietnam becomes WTO's 150th member,other,na,neut,na,neut,joy
675,South African trio share advantage,other,na,positive,na,na,joy
676,Observatory: poison begets poison,other,na,negative,na,na,fear
677,Action intensity boosts vision,other,present,positive,neut,positive,joy
678,Why the smell of a man's armpit is a turn-on,other,na,negative,na,na,surprise
679,Nokia 5300 Xpress Music,other,na,neut,na,na,joy
680,"Dell to cut bonuses, trim management",other,present,positive,neut,na,sadness
681,"Second drop in cancer deaths could point to a trend, researchers say",other,na,negative,na,neut,surprise
682,TV game shows go interactive,other,present,neut,neut,neut,joy
683,Boy missing since 2002 found alive,other,na,negative,na,neut,joy
684,"US, North Korea signed nuclear memo",other,past,neut,neut,neut,joy
685,Russia honors Sputnik designer,other,present,positive,neut,positive,joy
686,"In Kenya's capital, a sense that danger is ever stronger",other,na,positive,na,na,fear
687,"Bill, thanks for the RSA memories... and laughs",other,na,neut,na,neut,joy
688,Friendly fire pilot 'experienced',other,na,neut,na,na,sadness
689,MySpace welcomes French friends,other,present,positive,neut,positive,joy
690,Airlines: UK airport runway unsafe,other,na,negative,na,na,fear
691,The amounts you have to pay for a bomb scare,other,na,negative,na,negative,fear
692,"In Egypt, Rice speaks softly",other,na,neut,na,neut,joy
693,"Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead",other,na,negative,na,na,sadness
694,Senate votes to revoke pensions,other,present,negative,neut,negative,sadness
695,EarthLink CEO dies at age 49,other,na,negative,na,negative,sadness
696,Software giant SAP misses target,other,present,negative,neut,negative,sadness
697,Vital signs: mental abilities: folic acid may improve thinking skills,other,present,positive,positive,positive,surprise
698,De Villiers stretches overall lead,other,present,positive,positive,positive,joy
699,Families celebrate return of sons,other,present,positive,neut,positive,joy
700,China detains 2 after body parts found in mail,other,present,neut,neut,neut,fear
701,North Korea ready to discuss nuke disarmament,other,present,positive,neut,na,joy
702,"For women, nothing's like the smell of men's sweat",other,na,positive,na,na,surprise
703,Nadal wants Australian Open crown,other,present,neut,neut,neut,joy
704,Beijing journal: Olympic construction unearths ancient treasure trove,other,na,positive,na,na,joy
705,"Chinese president arrives in Mozambique, African tour nearly over",other,na,neut,na,neut,joy
706,Reclusive 'Mockingbird' author attends show,other,present,neut,neut,neut,joy
707,"Asia near pact on energy, security",other,na,neut,na,na,joy
708,Philippine anti-terror law delayed until June,other,na,negative,na,negative,fear
709,Ex-suspect slams anti-terror laws,other,na,neut,na,na,anger
710,Study detects a gene linked to Alzheimer's,other,na,neut,na,neut,joy
711,Panda cub makes her debut,other,present,neut,neut,neut,joy
712,Harris haul puts South Africa on top,other,present,positive,positive,positive,joy
713,Weight-loss drug to be sold over the counter,other,na,neut,na,na,joy
714,Beckham outlines reasons for move,other,na,neut,na,neut,joy
715,Study finds gritty air raises heart disease risk in older women,other,present,negative,negative,negative,surprise
716,"Venezuela, Iran fight U.S. dominance",other,na,neut,na,na,anger
717,'Housewives' star Marcia Cross on bed rest,other,na,neut,na,na,sadness
718,Blog: Here come the Globes!,other,present,neut,neut,neut,joy
719,Greek police hunt embassy attackers,other,na,neut,na,na,anger
720,Apple warns iTunes users to wait on Vista,other,present,neut,neut,neut,surprise
721,Tsunami fears ease after quake,other,na,positive,na,positive,fear
722,China considers Eurobond reserves,other,present,neut,neut,neut,joy
723,Underarm bowls them over,other,present,neut,neut,neut,surprise
724,At least 130 die as blast levels Baghdad market,other,present,negative,neut,neut,sadness
725,New McCain team made attack ads he once faulted,other,past,negative,negative,negative,anger
726,Deaths as bird flu flares in Asia,other,na,negative,na,na,fear
727,"Hamas, Fatah leaders pledge to meet until they reach agreement",other,present,neut,neut,neut,joy
728,Officers had 'rapport' with alleged abductor,other,past,neut,positive,positive,disgust
729,No e-Book for Harry Potter VII,other,na,neut,na,na,sadness
730,Review: Nokia 5300 Xpress Music,other,na,neut,na,na,joy
731,'Can't do this anymore'? Not Jack,other,present,neut,neut,neut,surprise
732,Black hole triplets spotted,other,na,neut,na,neut,surprise
733,Israel weighs old city project webcast,other,present,neut,neut,neut,surprise
734,Indonesian bird flu deaths hit 61,other,past,negative,neut,neut,sadness
735,Somali refugees cut off from aid,other,na,neut,na,neut,sadness
736,Microsoft downplays Vista speech-recognition hack,other,present,negative,negative,negative,joy
737,Next island hot spot: St. Lucia,other,na,positive,na,na,joy
738,Italy to hold no-show trial of Bronx GI in Iraq slay,other,present,neut,neut,na,anger
739,Rescued boys parents hail 'miracle',other,na,positive,na,na,joy
740,Canadians tracked in child porn ring,other,na,neut,na,neut,disgust
741,Teen hacks Venezuelan government Web sites,other,na,negative,na,na,surprise
742,"Russia plans new ICBMs, nuclear subs",other,na,neut,na,na,fear
743,Gere cheers sex workers in AIDS fight,other,na,positive,na,na,joy
744,Study: Male sweat causes female hormones to rise,other,present,neut,neut,neut,surprise
745,Collision on icy road kills 7,other,present,negative,neut,negative,sadness
746,Surprise: China cuts price of gas,other,na,neut,na,na,joy
747,What the Godfather of Soul meant to me,other,past,neut,neut,neut,joy
748,New Mars orbiter spots Pathfinder landing site,other,na,neut,na,na,joy
749,Mass Venezuela opposition rally,other,na,negative,na,na,anger
750,Glamour -- and 'Borat' -- at Golden Globes,other,na,neut,na,na,joy
751,Terror officials see Al Qaeda chiefs regaining power,other,present,neut,neut,neut,fear
752,"Ivrea journal: In Italian town, a civics lesson from pelting neighbors",other,na,neut,na,na,surprise
753,Iraqi sunni lands show new oil and gas promise,other,present,positive,positive,positive,joy
754,Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle,other,present,positive,neut,neut,joy
755,"A film star in Kampala, conjuring aminos ghost",other,na,neut,na,na,fear
756,Militants attack U.S. base in Iraq,other,na,negative,na,na,fear
757,North Africa feared as staging ground for terror,other,present,negative,neut,negative,fear
758,"Iran says Sunnis, using Pakistan as base, planned fatal bombing",other,present,negative,neut,neut,fear
759,Anglicans rebuke U.S. branch on same-sex unions,other,na,negative,na,na,anger
760,Homemade bombs kill 65 on Indian train,other,present,negative,neut,negative,sadness
761,Al Qaeda chiefs are seen to regain power,other,present,neut,neut,na,fear
762,Chvez threatens to jail violators of price controls,other,na,negative,na,negative,anger
763,Bush declares Iran's arms role in Iraq is certain,other,na,neut,na,neut,fear
764,Accord on North Korea is announced,other,na,neut,na,na,joy
765,U.S. says powerful Iraqi cleric is living in Iran,other,na,positive,na,positive,fear
766,"Baghdad plan is a success, Iraq prime minister tells Bush",other,present,positive,neut,neut,joy
767,Iraqi sunni lands show new oil and gas promise,other,present,positive,positive,positive,joy
768,"Dispute over Iraqi cleric, said to have gone to Iran",other,present,neut,neut,na,anger
769,Planning seen in Iraqi attacks on U.S. copters,other,na,negative,na,negative,fear
770,"In the world of life-saving drugs, a growing epidemic of deadly fakes",other,na,negative,na,na,sadness
771,Basics: a mammal in winter with a furnace of her own,other,na,neut,na,na,surprise
772,"Books on science: The problems in modeling nature, with its unruly natural tendencies",other,na,negative,na,na,surprise
773,Believing scripture but playing by science's rules,other,present,neut,neut,na,surprise
774,"A familiar and prescient voice, brought to life",other,na,neut,na,na,joy
775,Findings : A cool $25 million for a climate backup plan,other,na,positive,na,na,surprise
776,Call it serendipity: a missing piece of Washington's war tent is found,other,present,negative,neut,na,joy
777,"Free Will: Now you have it, now you don't",other,present,neut,neut,neut,surprise
778,Archaeologists find signs of early chimps' tool use,other,present,neut,neut,neut,surprise
779,Wizardry at Harvard: physicists move light,other,na,neut,na,na,surprise
780,The summit - a slap in the face of the Palestinians,other,na,negative,na,na,disgust
781,Moscow says Palestine-Israeli contacts key to Mideast peace,other,na,positive,na,positive,joy
782,Mideast summit edns with little progress,other,na,positive,na,na,sadness
783,India decries 'an act of sabotage',other,present,negative,negative,negative,fear
784,Pakistan-India peace talks planned despite bombings,other,na,positive,na,neut,joy
785,"Czechs, Poles get missile warning",other,present,neut,negative,negative,fear
786,Russia warns US against missile bases in East Europe,other,present,neut,neut,neut,fear
787,"Cheney starts visit to Japan, Australia",other,present,neut,neut,neut,joy
788,China: Cheney shores up the trilateral alliance,other,na,neut,na,na,joy
789,Iraq insurgents attack US base,other,present,negative,neut,negative,fear
790,US soldiers die in day of violence,other,na,negative,na,negative,sadness
791,Iraqi suicide attack kills two US troops as militants fight purge,other,present,negative,neut,negative,sadness
792,Iran reneges on nuclear payments to Russia,other,na,neut,na,neut,fear
793,Top Colombia official resigns,other,na,neut,na,na,sadness
794,Colombia FM resigns after relatives' arrests for militia links,other,na,neut,na,neut,sadness
795,Foreign minister of Colombia quits in scandal,other,na,negative,na,negative,disgust
796,New Zealand unlikely to allow crippled Japanese whaler,other,present,negative,negative,na,sadness
797,Damaged Japanese whaling ship may resume hunting off Antarctica,other,present,neut,neut,neut,sadness
798,Japanese whaling ship won't accept help,other,present,neut,neut,neut,disgust
799,Iran top N-envoy heads for Vienna for nuke talks,other,na,positive,na,na,joy
800,Victims of Air India still wait for justice,other,na,neut,na,neut,sadness
801,Kanishka bombing case: Inquiry judge threatens to quit,other,na,negative,na,negative,disgust
802,Judge threatens to shut down Air-India inquiry,other,present,negative,neut,negative,anger
803,Royal rescues presidential hopes with commanding performance,other,present,neut,neut,neut,joy
804,Royal seeks to revive French bid,other,present,positive,neut,positive,joy
